title,author,rating,details,num_reviews,num_ratings,publish_date,genres,description,image_url
A Walk to Remember,Nicholas Sparks," 4.20 avg rating — 814,586 ratings",/book/show/35545737-a-walk-to-remember,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737._SY75_.jpg
The Thorn Birds,Colleen McCullough," 4.25 avg rating — 353,500 ratings",/book/show/3412.The_Thorn_Birds,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412._SY75_.jpg
How the Grinch Stole Christmas!,Dr. Seuss," 4.38 avg rating — 420,262 ratings",/book/show/113946.How_the_Grinch_Stole_Christmas_,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327958149i/113946._SX50_.jpg
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare," 4.56 avg rating — 452,817 ratings",/book/show/18335634-clockwork-princess,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436788488i/18335634._SY75_.jpg
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company," 4.44 avg rating — 9,460 ratings",/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347579233i/1423._SX50_.jpg
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan," 4.24 avg rating — 1,217,909 ratings",/book/show/28186.The_Sea_of_Monsters,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186._SX50_.jpg
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead," 4.33 avg rating — 369,792 ratings",/book/show/2802316-shadow-kiss,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361099049i/2802316._SY75_.jpg
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams," 4.38 avg rating — 326,785 ratings",/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13._SY75_.jpg
Their Eyes Were Watching God,Zora Neale Hurston," 3.98 avg rating — 355,447 ratings",/book/show/37415.Their_Eyes_Were_Watching_God,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415._SY75_.jpg
The Importance of Being Earnest,Oscar Wilde," 4.17 avg rating — 376,790 ratings",/book/show/92303.The_Importance_of_Being_Earnest,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298438452i/92303._SY75_.jpg
Atonement,Ian McEwan," 3.94 avg rating — 528,587 ratings",/book/show/6867.Atonement,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867._SY75_.jpg
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum," 4.00 avg rating — 462,263 ratings",/book/show/236093.The_Wonderful_Wizard_of_Oz,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398003737i/236093._SY75_.jpg
"The Maze Runner (The Maze Runner, #1)",James Dashner," 4.05 avg rating — 1,560,682 ratings",/book/show/6186357-the-maze-runner,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357._SY75_.jpg
The Three Musketeers,Alexandre Dumas," 4.09 avg rating — 330,201 ratings",/book/show/7190.The_Three_Musketeers,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630475503i/7190._SX50_.jpg
"Eat, Pray, Love",Elizabeth Gilbert," 3.63 avg rating — 1,766,584 ratings",/book/show/19501.Eat_Pray_Love,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501._SY75_.jpg
The Song of Achilles,Madeline Miller," 4.32 avg rating — 1,595,642 ratings",/book/show/13623848-the-song-of-achilles,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848._SY75_.jpg
The Lorax,Dr. Seuss," 4.35 avg rating — 348,952 ratings",/book/show/7784.The_Lorax,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1705520064i/7784._SX50_.jpg
The Secret History,Donna Tartt," 4.17 avg rating — 798,315 ratings",/book/show/29044.The_Secret_History,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451554846i/29044._SY75_.jpg
Goodnight Moon,Margaret Wise Brown," 4.31 avg rating — 378,531 ratings",/book/show/32929.Goodnight_Moon,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929._SX50_.jpg
